symbol,mcap_cr,updated
ARE&M,16439.62,2026-08-31
ARENTERP,11.38,2026-08-31
ARFIN,1474.63,2026-08-31
ARIES,618.28,2026-08-31
ARIHANT,914.20,2026-08-31
ARIHANTCAP,855.96,2026-08-31
ARIHANTSUP,1089.48,2026-08-31
ARIS,1104.33,2026-08-31
ARKADE,2304.96,2026-08-31
ARMANFIN,2089.41,2026-08-31
AROGRANITE,37.87,2026-08-31
ARROWGREEN,1053.23,2026-08-31
ARSSBL,3213.75,2026-08-31
ARTNIRMAN,94.00,2026-08-31
ARVEE,185.77,2026-08-31
ARVIND,14681.54,2026-08-31
ARVINDFASN,5953.34,2026-08-31
ARVSMART,3047.08,2026-08-31
ARYAMAN,778.36,2026-08-31
ASAHIINDIA,24209.57,2026-08-31
ASAHISONG,443.09,2026-08-31
ASAL,763.41,2026-08-31
ASALCBR,1420.37,2026-08-31
ASHAPURMIN,5390.80,2026-08-31
ASHIANA,3627.65,2026-08-31
ASHIKAG,1927.87,2026-08-31
ASHIMASYN,361.88,2026-08-31
ASHOKA,3412.99,2026-08-31
ASHOKAMET,33.97,2026-08-31
ASHOKLEY,102698.65,2026-08-31
ASIANENE,2116.45,2026-08-31
ASIANHOTNR,1327.84,2026-08-31
ASIANPAINT,246797.56,2026-08-31
ASIANTILES,1493.35,2026-08-31
ASIANTNE,25.85,2026-08-31
ASKAUTOLTD,12990.65,2026-08-31
ASMS,208.43,2026-08-31
ASPINWALL,205.02,2026-08-31
ASSAMENT,117.53,2026-08-31
ASTAR,960.34,2026-08-31
ASTEC,1258.97,2026-08-31
ASTERDM,66116.35,2026-08-31
ASTRAL,41552.46,2026-08-31
ASTRAMICRO,15825.49,2026-08-31
ASTRAZEN,17606.96,2026-08-31
ATALREAL,415.80,2026-08-31
ATAM,64.56,2026-08-31
ATGL,68333.21,2026-08-31
ATHERENERG,65206.97,2026-08-31
ATL,768.54,2026-08-31
ATLANTAA,308.53,2026-08-31
ATLANTAELE,14064.31,2026-08-31
ATLASCYCLE,82.20,2026-08-31
ATUL,18890.63,2026-08-31
ATULAUTO,1344.56,2026-08-31
AUBANK,80396.48,2026-08-31
AURIONPRO,3737.97,2026-08-31
AUROPHARMA,97306.93,2026-08-31
AURUM,1778.28,2026-08-31
AURUS,13.58,2026-08-31
AUSOMENT,200.26,2026-08-31
AUSTENG,43.46,2026-08-31
AUTOAXLES,2616.79,2026-08-31
AUTOIND,392.62,2026-08-31
AVADHSUGAR,1721.78,2026-08-31
AVALON,15616.24,2026-08-31
AVANCE,164.51,2026-08-31
AVANTEL,4344.27,2026-08-31
AVANTIFEED,11327.60,2026-08-31
AVG,273.20,2026-08-31
AVL,7748.47,2026-08-31
AVONMORE,384.98,2026-08-31
AVROIND,122.46,2026-08-31
AVTNPL,1340.40,2026-08-31
AWFIS,1876.21,2026-08-31
AWHCL,1084.40,2026-08-31
AWL,24931.92,2026-08-31
AXISBANK,392745.30,2026-08-31
AXISCADES,6986.40,2026-08-31
AXITA,304.68,2026-08-31
AXTEL,629.24,2026-08-31
AYE,4464.57,2026-08-31
AYMSYNTEX,1667.91,2026-08-31
AZAD,18465.23,2026-08-31
AZADIND,499.97,2026-08-31
BAFNAPH,724.36,2026-08-31
BAGFILMS,90.77,2026-08-31
BAIDFIN,156.90,2026-08-31
BAJAJ-AUTO,334236.71,2026-08-31
BAJAJCON,6213.04,2026-08-31
BAJAJELEC,3896.42,2026-08-31
BAJAJFINSV,316495.20,2026-08-31
BAJAJHCARE,1121.42,2026-08-31
BAJAJHFL,69872.88,2026-08-31
BAJAJHIND,3116.76,2026-08-31
BAJAJHLDNG,126485.75,2026-08-31
BAJAJINDEF,710.08,2026-08-31
BAJEL,2253.74,2026-08-31
BAJFINANCE,658556.94,2026-08-31
BALAJEE,214.50,2026-08-31
BALAJITELE,1102.96,2026-08-31
BALAMINES,7567.53,2026-08-31
BALAXI,125.40,2026-08-31
BALKRISHNA,55.15,2026-08-31
BALKRISIND,45077.00,2026-08-31
BALMLAWRIE,2997.56,2026-08-31
BALPHARMA,134.60,2026-08-31
BALRAMCHIN,14613.63,2026-08-31
BALUFORGE,6847.60,2026-08-31
BANARBEADS,77.77,2026-08-31
BANARISUG,4946.85,2026-08-31
BANCOINDIA,8957.62,2026-08-31
BANDHANBNK,26431.97,2026-08-31
BANG,47.14,2026-08-31
BANKA,86.84,2026-08-31
BANKBARODA,122814.41,2026-08-31
BANKINDIA,64767.01,2026-08-31
BANSALWIRE,4905.17,2026-08-31
BANSWRAS,396.30,2026-08-31
BASF,16416.25,2026-08-31
BASML,197.87,2026-08-31
BATAINDIA,8819.01,2026-08-31
BATLIBOI,406.97,2026-08-31
BAYERCROP,18114.04,2026-08-31
BBL,2646.60,2026-08-31
BBOX,12738.92,2026-08-31
BBTC,10548.15,2026-08-31
BBTCL,472.41,2026-08-31
BCG,1818.68,2026-08-31
BCLIND,1074.22,2026-08-31
BCONCEPTS,204.47,2026-08-31
BCPL,115.76,2026-08-31
BDL,46624.43,2026-08-31
BEARDSELL,102.36,2026-08-31
BECTORFOOD,6999.31,2026-08-31
BEDMUTHA,337.21,2026-08-31
BEEKAY,755.63,2026-08-31
BEL,301585.17,2026-08-31
BELLACASA,312.58,2026-08-31
BELRISE,19549.99,2026-08-31
BEML,16178.49,2026-08-31
BENARAS,1326.00,2026-08-31
BEPL,3003.83,2026-08-31
BERGEPAINT,57365.01,2026-08-31
BESTAGRO,612.93,2026-08-31
BETA,2434.74,2026-08-31
BFINVEST,1656.25,2026-08-31
BFUTILITIE,1904.50,2026-08-31
BGRENERGY,1768.01,2026-08-31
BHAGCHEM,3692.88,2026-08-31
BHAGERIA,1093.38,2026-08-31
BHAGYANGR,1228.46,2026-08-31
BHANDARI,95.56,2026-08-31
BHARATCOAL,15365.64,2026-08-31
BHARATFORG,97677.30,2026-08-31
BHARATGEAR,157.01,2026-08-31
BHARATRAS,2061.18,2026-08-31
BHARATSE,1409.79,2026-08-31
BHARATWIRE,1254.43,2026-08-31
BHARTIARTL,1147831.01,2026-08-31
BHARTIHEXA,77084.02,2026-08-31
BHEL,149986.39,2026-08-31
BI,210.64,2026-08-31
BIGBLOC,613.54,2026-08-31
BIKAJI,15540.62,2026-08-31
BIL,1125.22,2026-08-31
BILVYAPAR,12.80,2026-08-31
BIMETAL,241.72,2026-08-31
BIOCON,65635.83,2026-08-31
BIOFILCHEM,53.18,2026-08-31
BIRLACABLE,929.89,2026-08-31
BIRLACORPN,6835.62,2026-08-31
BIRLAMONEY,717.97,2026-08-31
BIRLANU,1085.00,2026-08-31
BIRLAPREC,308.65,2026-08-31
BLACKBUCK,10764.45,2026-08-31
BLACKROSE,583.95,2026-08-31
BLAL,709.04,2026-08-31
BLBLIMITED,83.52,2026-08-31
BLEL,1878.02,2026-08-31
BLIL,1594.85,2026-08-31
BLISSGVS,6517.69,2026-08-31
BLKASHYAP,1248.59,2026-08-31
BLS,9922.93,2026-08-31
BLSE,2972.94,2026-08-31
BLUECHIP,9.65,2026-08-31
BLUECLOUDS,1070.71,2026-08-31
BLUECOAST,40.02,2026-08-31
BLUEDART,11773.75,2026-08-31
BLUEJET,10048.51,2026-08-31
BLUESTARCO,30217.99,2026-08-31
BLUESTONE,12140.66,2026-08-31
BLUSPRING,2048.00,2026-08-31
BMWVENTLTD,491.77,2026-08-31
BODALCHEM,1496.39,2026-08-31
BOHRAIND,25.96,2026-08-31
BOMDYEING,2355.32,2026-08-31
BONLON,59.52,2026-08-31
BORANA,814.88,2026-08-31
BOROLTD,2933.70,2026-08-31
BORORENEW,7052.03,2026-08-31
BOROSCI,1098.56,2026-08-31
BOSCH-HCIL,4703.32,2026-08-31
BOSCHLTD,143274.26,2026-08-31
BPCL,133996.39,2026-08-31
BPL,255.27,2026-08-31
BPLPHARMA,1061.36,2026-08-31
BRAHMINFRA,465.55,2026-08-31
BRIGADE,21125.29,2026-08-31
BRIGHOTEL,2055.32,2026-08-31
BRIGHTBR,144.88,2026-08-31
BRITANNIA,126459.78,2026-08-31
BRNL,143.97,2026-08-31
BROOKS,196.26,2026-08-31
BSE,134945.89,2026-08-31
BSHSL,954.71,2026-08-31
BSL,127.15,2026-08-31
BSOFT,8207.47,2026-08-31
BTML,147.13,2026-08-31
BTTL,254.23,2026-08-31
BUILDPRO,3045.84,2026-08-31
BURNPUR,30.59,2026-08-31
BUTTERFLY,1124.13,2026-08-31
BVCL,95.11,2026-08-31
BYKE,167.13,2026-08-31
CALSOFT,230.43,2026-08-31
CAMLINFINE,1959.73,2026-08-31
CAMPUS,6826.68,2026-08-31
CAMS,19338.84,2026-08-31
CANBK,114619.81,2026-08-31
CANFINHOME,10640.92,2026-08-31
CANHLIFE,14379.54,2026-08-31
CANTABIL,2035.58,2026-08-31
CAPACITE,1820.76,2026-08-31
CAPILLARY,3926.54,2026-08-31
CAPITALSFB,1283.53,2026-08-31
CAPLIPOINT,19460.04,2026-08-31
CAPTRUST,49.12,2026-08-31
CARBORUNIV,21074.30,2026-08-31
CARERATING,5199.30,2026-08-31
CARRARO,3203.02,2026-08-31
CARTRADE,14410.92,2026-08-31
CARYSIL,3202.75,2026-08-31
CASTROLIND,18255.74,2026-08-31
CCAVENUE,4461.67,2026-08-31
CCCL,672.72,2026-08-31
