symbol,mcap_cr,updated
GARFIBRES,8001.02,2026-08-31
GARUDA,1600.70,2026-08-31
GATECH,132.44,2026-08-31
GATECHDVR,66.79,2026-08-31
GATEWAY,2669.02,2026-08-31
GAUDIUMIVF,798.38,2026-08-31
GAYAHWS,49.96,2026-08-31
GAYAPROJ,412.19,2026-08-31
GCSL,1300.01,2026-08-31
GEECEE,767.46,2026-08-31
GEEKAYWIRE,285.15,2026-08-31
GEMAROMA,842.84,2026-08-31
GENCON,245.74,2026-08-31
GENESYS,1330.60,2026-08-31
GENUSPAPER,309.95,2026-08-31
GENUSPOWER,9230.15,2026-08-31
GEOJITFSL,2286.76,2026-08-31
GESHIP,18664.68,2026-08-31
GFLLIMITED,595.36,2026-08-31
GFSTEELS,45.89,2026-08-31
GHCL,4010.33,2026-08-31
GHCLTEXTIL,1282.98,2026-08-31
GICHSGFIN,750.36,2026-08-31
GICL,218.53,2026-08-31
GICRE,62262.43,2026-08-31
GILLANDERS,224.93,2026-08-31
GILLETTE,23870.55,2026-08-31
GINNIFILA,375.78,2026-08-31
GIPCL,3104.32,2026-08-31
GKB,34.07,2026-08-31
GKENERGY,2710.01,2026-08-31
GKSL,977.38,2026-08-31
GKWLIMITED,938.89,2026-08-31
GLAND,47789.25,2026-08-31
GLAXO,51671.36,2026-08-31
GLENMARK,70014.10,2026-08-31
GLFL,15.90,2026-08-31
GLOBAL,536.00,2026-08-31
GLOBALE,11.84,2026-08-31
GLOBALVECT,200.13,2026-08-31
GLOBE,96.89,2026-08-31
GLOBECIVIL,282.75,2026-08-31
GLOBUSSPR,2669.58,2026-08-31
GLOSTERLTD,654.41,2026-08-31
GLOTTIS,549.70,2026-08-31
GMBREW,2005.45,2026-08-31
GMDCLTD,17802.42,2026-08-31
GMMPFAUDLR,4718.88,2026-08-31
GMRAIRPORT,98780.22,2026-08-31
GMRP&UI,6816.44,2026-08-31
GNA,2354.26,2026-08-31
GNFC,8433.70,2026-08-31
GNRL,1494.79,2026-08-31
GOACARBON,336.41,2026-08-31
GOCLCORP,1928.40,2026-08-31
GOCOLORS,1727.24,2026-08-31
GODAVARIB,1196.69,2026-08-31
GODFRYPHLP,32856.00,2026-08-31
GODIGIT,23831.56,2026-08-31
GODREJAGRO,11782.70,2026-08-31
GODREJCP,92768.23,2026-08-31
GODREJIND,38334.73,2026-08-31
GODREJPROP,60095.48,2026-08-31
GOKEX,5747.28,2026-08-31
GOKUL,416.14,2026-08-31
GOKULAGRO,7221.30,2026-08-31
GOLDIAM,5132.48,2026-08-31
GOLDTECH,252.37,2026-08-31
GOODLUCK,1378.15,2026-08-31
GOODYEAR,1711.90,2026-08-31
GOPAL,3417.24,2026-08-31
GOYALALUM,91.15,2026-08-31
GPIL,15067.20,2026-08-31
GPPL,8163.37,2026-08-31
GPTHEALTH,1242.20,2026-08-31
GPTINFRA,1399.70,2026-08-31
GRADIENTE,13.95,2026-08-31
GRANULES,20527.18,2026-08-31
GRAPHITE,13611.79,2026-08-31
GRASIM,224390.77,2026-08-31
GRAUWEIL,3232.83,2026-08-31
GRAVISSHO,220.00,2026-08-31
GRAVITA,13126.78,2026-08-31
GREAVESCOT,4564.08,2026-08-31
GREENLAM,6121.26,2026-08-31
GREENPANEL,1923.66,2026-08-31
GREENPLY,3624.19,2026-08-31
GREENPOWER,1078.49,2026-08-31
GRINDWELL,22461.41,2026-08-31
GRINFRA,8471.77,2026-08-31
GRMOVER,1793.20,2026-08-31
GROBTEA,114.37,2026-08-31
GROWW,118983.83,2026-08-31
GRPLTD,1059.98,2026-08-31
GRSE,29228.91,2026-08-31
GRWRHITECH,16582.41,2026-08-31
GSFC,6300.49,2026-08-31
GSLSU,109.37,2026-08-31
GSPCROP,2576.30,2026-08-31
GSS,31.54,2026-08-31
GTECJAINX,29.74,2026-08-31
GTL,112.15,2026-08-31
GTLINFRA,1563.40,2026-08-31
GTPL,639.43,2026-08-31
GUFICBIO,4213.49,2026-08-31
GUJALKALI,5169.15,2026-08-31
GUJAPOLLO,438.90,2026-08-31
GUJENERGY,17085.84,2026-08-31
GUJTHEM,4653.27,2026-08-31
GULFOILLUB,5563.52,2026-08-31
GULFPETRO,344.92,2026-08-31
GULPOLY,1185.54,2026-08-31
GVKPIL,316.50,2026-08-31
GVPIL,4235.29,2026-08-31
GVPTECH,144.44,2026-08-31
GVT&D,110468.76,2026-08-31
GYFTR,1145.87,2026-08-31
HAL,321093.08,2026-08-31
HALDER,366.96,2026-08-31
HALDYNGL,757.68,2026-08-31
HALEOSLABS,450.49,2026-08-31
HAMPTON,224.85,2026-08-31
HAPPSTMNDS,6084.75,2026-08-31
HAPPYFORGE,22279.78,2026-08-31
HARDWYN,615.92,2026-08-31
HARIOMPIPE,1068.67,2026-08-31
HARRMALAYA,362.11,2026-08-31
HARSHA,4021.83,2026-08-31
HATHWAY,1837.50,2026-08-31
HATSUN,26512.96,2026-08-31
HAVELLS,75668.14,2026-08-31
HAVISHA,39.41,2026-08-31
HAWKINCOOK,4330.14,2026-08-31
HAZOOR,485.76,2026-08-31
HBESD,171.01,2026-08-31
HBLENGINE,18103.14,2026-08-31
HBPOR,65.66,2026-08-31
HBSL,39.97,2026-08-31
HCC,5290.07,2026-08-31
HCG,10504.12,2026-08-31
HCL-INSYS,346.87,2026-08-31
HCLTECH,356202.22,2026-08-31
HDBFS,56516.14,2026-08-31
HDFCAMC,109062.65,2026-08-31
HDFCBANK,1084927.92,2026-08-31
HDFCLIFE,117324.72,2026-08-31
HEADSUP,15.27,2026-08-31
HEALTHX,948.45,2026-08-31
HECPROJECT,127.86,2026-08-31
HEG,13981.30,2026-08-31
HEIDELBERG,3598.11,2026-08-31
HEMIPROP,3694.97,2026-08-31
HERANBA,694.20,2026-08-31
HERITGFOOD,3369.33,2026-08-31
HEROMOTOCO,111564.23,2026-08-31
HESTERBIO,1929.47,2026-08-31
HEXAGON,835.84,2026-08-31
HEXATRADEX,887.57,2026-08-31
HEXT,33547.96,2026-08-31
HFCL,38317.35,2026-08-31
HGINFRA,3183.93,2026-08-31
HGM,58.05,2026-08-31
HGS,1855.70,2026-08-31
HIKAL,2497.60,2026-08-31
HILINFRA,299.25,2026-08-31
HILTON,99.07,2026-08-31
HIMATSEIDE,877.27,2026-08-31
HINDADH,157.39,2026-08-31
HINDALCO,227411.74,2026-08-31
HINDALUMI,60.64,2026-08-31
HINDCOMPOS,599.04,2026-08-31
HINDCON,84.64,2026-08-31
HINDCOPPER,50926.51,2026-08-31
HINDOILEXP,2137.70,2026-08-31
HINDPETRO,75888.18,2026-08-31
HINDUNILVR,470053.39,2026-08-31
HINDWAREAP,1574.96,2026-08-31
HINDZINC,252233.32,2026-08-31
HIRECT,4221.06,2026-08-31
HISARMETAL,76.97,2026-08-31
HITECH,1562.13,2026-08-31
HITECHCORP,578.08,2026-08-31
HITECHGEAR,1053.90,2026-08-31
HLEGLAS,2149.50,2026-08-31
HLVLTD,509.34,2026-08-31
HMAAGRO,1045.41,2026-08-31
HMVL,640.85,2026-08-31
HNDFDS,7968.74,2026-08-31
HOMEFIRST,12353.74,2026-08-31
HONASA,15852.67,2026-08-31
HONAUT,31581.13,2026-08-31
HONDAPOWER,2052.79,2026-08-31
HORIZONIND,7494.96,2026-08-31
HPAL,315.89,2026-08-31
HPIL,139.47,2026-08-31
HPL,1943.30,2026-08-31
HRYNSHP,63.23,2026-08-31
HSCL,33308.14,2026-08-31
HTMEDIA,606.52,2026-08-31
HUBTOWN,2584.33,2026-08-31
HUDCO,35940.87,2026-08-31
HUHTAMAKI,1984.09,2026-08-31
HYBRIDFIN,49.31,2026-08-31
HYUNDAI,182476.58,2026-08-31
IBULLSLTD,5844.72,2026-08-31
ICDSLTD,53.42,2026-08-31
ICEMAKE,1178.15,2026-08-31
ICICIAMC,151286.80,2026-08-31
ICICIBANK,1033566.50,2026-08-31
ICICIGI,77340.78,2026-08-31
ICICIPRULI,72662.82,2026-08-31
ICIL,8880.92,2026-08-31
ICRA,4727.54,2026-08-31
IDBI,97633.58,2026-08-31
IDEA,159298.92,2026-08-31
IDEAFORGE,3486.59,2026-08-31
IDFCFIRSTB,72347.18,2026-08-31
IEX,10626.28,2026-08-31
IFBAGRO,839.67,2026-08-31
IFBIND,5439.65,2026-08-31
IFCI,23343.88,2026-08-31
IFGLEXPOR,1531.93,2026-08-31
IGARASHI,1328.09,2026-08-31
IGCL,424.39,2026-08-31
IGIL,14583.90,2026-08-31
IGL,21064.43,2026-08-31
IGPL,1662.46,2026-08-31
IIFL,27647.24,2026-08-31
IIFLCAPS,10433.04,2026-08-31
IITL,354.57,2026-08-31
IKIO,1662.93,2026-08-31
IKS,29443.27,2026-08-31
IMAGICAA,2243.68,2026-08-31
IMFA,7170.26,2026-08-31
IMPAL,1357.44,2026-08-31
INA,2041.65,2026-08-31
INCREDIBLE,144.32,2026-08-31
INDBANK,139.66,2026-08-31
INDGN,14475.78,2026-08-31
INDHOTEL,101352.72,2026-08-31
INDIACEM,17503.75,2026-08-31
INDIAGLYCO,7301.36,2026-08-31
INDIAMART,10593.31,2026-08-31
INDIANB,117286.74,2026-08-31
INDIANCARD,126.07,2026-08-31
INDIANHUME,2019.56,2026-08-31
INDIASHLTR,7051.34,2026-08-31
INDIGO,196783.02,2026-08-31
INDIGOPNTS,5502.17,2026-08-31
INDIQUBE,3883.88,2026-08-31
INDNIPPON,2374.34,2026-08-31
INDOAMIN,885.89,2026-08-31
INDOBORAX,1645.71,2026-08-31
INDOCO,2231.29,2026-08-31
INDOFARM,657.36,2026-08-31
INDOKEM,1715.38,2026-08-31
INDORAMA,1726.73,2026-08-31
INDOSTAR,3992.69,2026-08-31
INDOTECH,3966.81,2026-08-31
INDOTHAI,562.59,2026-08-31
INDOUS,159.72,2026-08-31
INDOWIND,150.32,2026-08-31
INDRAMEDCO,3346.05,2026-08-31
INDSWFTLAB,3036.79,2026-08-31
INDTERRAIN,150.31,2026-08-31
INDUSINDBK,77346.32,2026-08-31
INDUSTOWER,100779.07,2026-08-31
INFOBEAN,1585.24,2026-08-31
INFOMEDIA,25.39,2026-08-31
INFY,454879.71,2026-08-31
INGERRAND,15150.01,2026-08-31
INNOVACAP,6180.90,2026-08-31
INNOVANA,637.98,2026-08-31
INNOVISION,558.30,2026-08-31
INOXGREEN,6828.59,2026-08-31
INOXINDIA,19308.03,2026-08-31
INOXWIND,8325.51,2026-08-31
INSECTICID,1765.80,2026-08-31
INSPIRISYS,362.47,2026-08-31
INTELLECT,9426.36,2026-08-31
INTENTECH,193.23,2026-08-31
INTERARCH,2853.75,2026-08-31
INTLCONV,502.87,2026-08-31
INVENTURE,99.45,2026-08-31
INVPRECQ,1286.16,2026-08-31
IOB,62519.24,2026-08-31
IOC,186194.58,2026-08-31
IOLCP,5649.23,2026-08-31
IONEXCHANG,4332.08,2026-08-31
IPCALAB,50151.93,2026-08-31
IPL,1566.65,2026-08-31
IPRINGLTD,184.57,2026-08-31
IRB,23742.05,2026-08-31
IRCON,11280.92,2026-08-31
IRCTC,38535.98,2026-08-31
IREDA,32140.77,2026-08-31
IRFC,108749.71,2026-08-31
IRIS,508.94,2026-08-31
IRISDOREME,1109.19,2026-08-31
IRMENERGY,1165.68,2026-08-31
ISFT,154.58,2026-08-31
ISGEC,5844.80,2026-08-31
ISHANCH,113.63,2026-08-31
ISTLTD,754.65,2026-08-31
ITC,331687.96,2026-08-31
ITCHOTELS,33445.70,2026-08-31
ITDC,5509.80,2026-08-31
ITI,33937.67,2026-08-31
ITL,119.76,2026-08-31
IVALUE,1385.07,2026-08-31
IVC,268.32,2026-08-31
IVP,207.49,2026-08-31
IWP,225.46,2026-08-31
IXIGO,7223.01,2026-08-31
IZMO,1250.52,2026-08-31
J&KBANK,16308.73,2026-08-31
JAGRAN,1328.24,2026-08-31
JAGSNPHARM,1607.15,2026-08-31
JAIBALAJI,6750.13,2026-08-31
JAICORPLTD,1709.38,2026-08-31
JAINREC,9619.94,2026-08-31
JAIPURKURT,51.57,2026-08-31
JAMNAAUTO,4830.69,2026-08-31
JARO,997.05,2026-08-31
JASH,2906.64,2026-08-31
JAYAGROGN,702.52,2026-08-31
JAYBARMARU,1365.39,2026-08-31
JAYKAY,2060.59,2026-08-31
JAYNECOIND,9515.65,2026-08-31
JAYSREETEA,279.92,2026-08-31
JBMA,14836.38,2026-08-31
JENBURPH,464.28,2026-08-31
JETFREIGHT,102.31,2026-08-31
JGCHEM,2531.90,2026-08-31
JHS,71.13,2026-08-31
JINDALPHOT,1060.22,2026-08-31
JINDALPOLY,2753.80,2026-08-31
JINDALSAW,19568.62,2026-08-31
JINDALSTEL,117782.05,2026-08-31
JINDRILL,1808.82,2026-08-31
JINDWORLD,3919.93,2026-08-31
JIOFIN,155197.91,2026-08-31
JISLDVREQS,1497.06,2026-08-31
JISLJALEQS,2063.56,2026-08-31
JITFINFRA,799.19,2026-08-31
JKCEMENT,39178.83,2026-08-31
JKIL,3739.11,2026-08-31
JKIPL,408.21,2026-08-31
JKLAKSHMI,6640.13,2026-08-31
JKPAPER,7162.04,2026-08-31
JKTYRE,10786.96,2026-08-31
JLHL,9995.72,2026-08-31
JMA,213.96,2026-08-31
JMFINANCIL,12113.24,2026-08-31
JNKINDIA,2468.10,2026-08-31
JNPR,14997.09,2026-08-31
JOCIL,132.30,2026-08-31
JPOLYINVST,1042.29,2026-08-31
JPPOWER,11541.22,2026-08-31
JSFB,5676.38,2026-08-31
JSL,58332.15,2026-08-31
JSLL,6368.11,2026-08-31
JSWCEMENT,16862.67,2026-08-31
JSWDULUX,14283.72,2026-08-31
JSWENERGY,92786.39,2026-08-31
JSWHL,12856.00,2026-08-31
JSWINFRA,71248.22,2026-08-31
JSWSTEEL,321395.09,2026-08-31
JTEKTINDIA,3459.44,2026-08-31
JTLIND,3275.83,2026-08-31
JUBLCPL,3504.67,2026-08-31
JUBLFOOD,32213.14,2026-08-31
JUBLINGREA,10657.02,2026-08-31
JUBLPHARMA,13968.22,2026-08-31
JUNIPER,4720.61,2026-08-31
JUSTDIAL,6084.38,2026-08-31
JWL,10364.99,2026-08-31
JYOTHYLAB,7476.25,2026-08-31
JYOTICNC,22818.44,2026-08-31
JYOTIRES,1053.60,2026-08-31
JYOTISTRUC,1192.69,2026-08-31
KABRAEXTRU,2073.69,2026-08-31
KAJARIACER,19808.03,2026-08-31
KAKATCEM,90.57,2026-08-31
KALAMANDIR,1266.67,2026-08-31
KALPATARU,5690.49,2026-08-31
KALYANI,14.50,2026-08-31
KALYANIFRG,332.46,2026-08-31
KALYANKJIL,63027.90,2026-08-31
KAMANWALA,23.13,2026-08-31
KAMATHOTEL,640.12,2026-08-31
KAMDHENU,998.46,2026-08-31
KAMOPAINTS,139.92,2026-08-31
KANANIIND,28.28,2026-08-31
KANCHI,184.62,2026-08-31
KANCOTEA,28.69,2026-08-31
KANORICHEM,668.21,2026-08-31
KANPRPLA,669.28,2026-08-31
KANSAINER,15694.81,2026-08-31
KAPSTON,1777.09,2026-08-31
KARMAENG,43.97,2026-08-31
KARURVYSYA,33494.32,2026-08-31
KAUSHALYA,30.07,2026-08-31
KAVDEFENCE,340.30,2026-08-31
KAYA,508.80,2026-08-31
KAYNES,24908.53,2026-08-31
KCP,2158.40,2026-08-31
KCPSUGIND,374.92,2026-08-31
KDDL,4838.78,2026-08-31
KEC,11140.01,2026-08-31
KECL,916.86,2026-08-31
KEEPLEARN,31.75,2026-08-31
KEI,53204.00,2026-08-31
KELLTONTEC,755.63,2026-08-31
KENNAMET,9761.16,2026-08-31
KERNEX,2928.84,2026-08-31
KESORAMIND,344.15,2026-08-31
KEYFINSERV,144.71,2026-08-31
KFINTECH,16356.46,2026-08-31
KHADIM,216.53,2026-08-31
KHAICHEM,538.34,2026-08-31
KHAITANLTD,67.08,2026-08-31
KHANDSE,27.17,2026-08-31
KICL,2263.76,2026-08-31
KILITCH,602.65,2026-08-31
KIMS,30308.97,2026-08-31
KINGFA,7773.53,2026-08-31
KIOCL,23179.63,2026-08-31
KIRIINDUS,3158.11,2026-08-31
KIRLFER,7503.83,2026-08-31
KIRLOSBROS,15098.12,2026-08-31
KIRLOSENG,30492.31,2026-08-31
KIRLOSIND,3911.79,2026-08-31
KIRLPNU,4682.49,2026-08-31
KISSHT,4568.44,2026-08-31
KITEX,2489.96,2026-08-31
KJMCFIN,31.45,2026-08-31
KKCL,3106.47,2026-08-31
KLBRENG-B,2155.95,2026-08-31
KMCSHIL,2181.70,2026-08-31
KMEW,6667.37,2026-08-31
KMSUGAR,304.15,2026-08-31
KNACK,2339.01,2026-08-31
KNAGRI,542.20,2026-08-31
KNRCON,3428.54,2026-08-31
KOHINOOR,126.79,2026-08-31
KOKUYOCMLN,793.08,2026-08-31
KOLTEPATIL,3954.71,2026-08-31
KOPRAN,1055.92,2026-08-31
KOTAKBANK,420483.57,2026-08-31
KOTARISUG,266.32,2026-08-31
KOTHARIPET,774.90,2026-08-31
KOTHARIPRO,400.75,2026-08-31
KOTIC,1562.52,2026-08-31
KOTYARK,379.51,2026-08-31
KOVAI,6625.19,2026-08-31
KPEL,1661.17,2026-08-31
KPIGREEN,6063.19,2026-08-31
KPIL,24153.14,2026-08-31
KPITTECH,15990.71,2026-08-31
KPRMILL,40566.49,2026-08-31
KRBL,9780.47,2026-08-31
KREBSBIO,122.93,2026-08-31
KRIDHANINF,19.30,2026-08-31
KRISHANA,5948.74,2026-08-31
KRISHIVAL,914.29,2026-08-31
KRISHNADEF,1507.15,2026-08-31
KRITI,320.75,2026-08-31
KRITIKA,137.97,2026-08-31
KRITINUT,444.24,2026-08-31
KRN,9715.89,2026-08-31
KRONOX,653.03,2026-08-31
KROSS,1375.27,2026-08-31
KRSNAA,1800.16,2026-08-31
KRYSTAL,879.89,2026-08-31
KSB,14206.98,2026-08-31
KSCL,4052.62,2026-08-31
KSE,563.97,2026-08-31
KSHINTL,5709.51,2026-08-31
KSHITIJPOL,42.18,2026-08-31
KSL,3935.36,2026-08-31
KSOLVES,641.73,2026-08-31
KSR,53.53,2026-08-31
KTKBANK,12878.11,2026-08-31
KUANTUM,624.46,2026-08-31
KUSUMGAR,6125.72,2026-08-31
KWIL,10537.71,2026-08-31
LADDERUP,52.97,2026-08-31
LAGNAM,134.74,2026-08-31
LAKSHMIMIL,559.91,2026-08-31
LAL,159.14,2026-08-31
LALITHAA,14612.90,2026-08-31
LALPATHLAB,31638.89,2026-08-31
LAMBODHARA,146.72,2026-08-31
LANCER,351.57,2026-08-31
LANCORHOL,247.25,2026-08-31
LANDMARK,2149.01,2026-08-31
LANDSMILL,97.34,2026-08-31
LAOPALA,1930.20,2026-08-31
LASA,34.87,2026-08-31
LASERPOWER,4504.42,2026-08-31
LATENTVIEW,5651.07,2026-08-31
LATTEYS,127.18,2026-08-31
LAURUSLABS,101605.50,2026-08-31
LAXMICOT,22.70,2026-08-31
LAXMIDENTL,1079.66,2026-08-31
LAXMIINDIA,663.60,2026-08-31
LCCINFOTEC,45.70,2026-08-31
LCL,5876.78,2026-08-31
LEAPIND,6305.05,2026-08-31
LEENEE,50.28,2026-08-31
LEMERITE,260.66,2026-08-31
LEMONTREE,8459.48,2026-08-31
LENSKART,112621.80,2026-08-31
LEXUS,29.35,2026-08-31
LFIC,40.54,2026-08-31
LGBBROSLTD,5385.11,2026-08-31
LGEINDIA,115504.92,2026-08-31
LGHL,895.34,2026-08-31
LIBAS,26.60,2026-08-31
LIBERTSHOE,410.90,2026-08-31
LICHSGFIN,29349.96,2026-08-31
LICI,527116.96,2026-08-31
LIKHITHA,823.43,2026-08-31
LINC,563.89,2026-08-31
LINCOLN,1220.53,2026-08-31
LINDEINDIA,54709.83,2026-08-31
LKPSEC,127.26,2026-08-31
LLOYDSENGG,11977.36,2026-08-31
LLOYDSENT,11140.78,2026-08-31
LLOYDSME,95644.91,2026-08-31
LMW,20937.78,2026-08-31
LODHA,122829.43,2026-08-31
LOKESHMACH,731.29,2026-08-31
LORDSCHLO,392.46,2026-08-31
LOTUSCHO,795.00,2026-08-31
LOTUSDEV,8931.18,2026-08-31
LOTUSEYE,221.00,2026-08-31
LOVABLE,108.60,2026-08-31
LOYALTEX,105.09,2026-08-31
LPDC,92.37,2026-08-31
LT,552836.08,2026-08-31
LTF,77888.17,2026-08-31
LTFOODS,15660.64,2026-08-31
LTM,134421.70,2026-08-31
LTTS,38290.48,2026-08-31
LUMAXIND,5825.04,2026-08-31
LUMAXTECH,14221.11,2026-08-31
LUPIN,98675.11,2026-08-31
LUXIND,3638.41,2026-08-31
LXCHEM,4623.84,2026-08-31
LYKALABS,269.17,2026-08-31
M&M,374373.69,2026-08-31
M&MFIN,52078.76,2026-08-31
MAANALU,715.76,2026-08-31
MACPOWER,1978.29,2026-08-31
MADHAV,30.43,2026-08-31
MADHUCON,36.01,2026-08-31
MADRASFERT,1058.19,2026-08-31
MAFATIND,905.39,2026-08-31
MAGADSUGAR,844.44,2026-08-31
MAGNUM,127.28,2026-08-31
MAHABANK,63530.71,2026-08-31
MAHAPEXLTD,146.22,2026-08-31
MAHASTEEL,2258.35,2026-08-31
MAHEPC,286.01,2026-08-31
MAHESHWARI,236.14,2026-08-31
MAHLIFE,7808.61,2026-08-31
MAHLOG,3878.42,2026-08-31
MAHSCOOTER,15605.14,2026-08-31
MAHSEAMLES,8847.62,2026-08-31
MAITHANALL,2846.99,2026-08-31
MAJESAUT,369.21,2026-08-31
MAKERSL,111.02,2026-08-31
MALLCOM,610.52,2026-08-31
MALUPAPER,53.97,2026-08-31
MAMATA,983.70,2026-08-31
MANAKALUCO,253.49,2026-08-31
MANAKCOAT,1303.00,2026-08-31
MANAKSIA,386.26,2026-08-31
MANAKSTEEL,651.86,2026-08-31
MANALIPETC,1438.39,2026-08-31
MANAPPURAM,29093.32,2026-08-31
MANBA,651.99,2026-08-31
MANBRO,314.19,2026-08-31
MANCREDIT,531.18,2026-08-31
MANGALAM,50.23,2026-08-31
MANGLMCEM,2957.28,2026-08-31
MANINDS,5468.19,2026-08-31
MANINFRA,4962.21,2026-08-31
MANIPALHOS,100540.86,2026-08-31
MANKIND,97684.85,2026-08-31
MANOMAY,405.73,2026-08-31
MANORAMA,11529.76,2026-08-31
MANORG,434.92,2026-08-31
MANUGRAPH,46.50,2026-08-31
MANYAVAR,13193.98,2026-08-31
MAPMYINDIA,5497.70,2026-08-31
MARALOVER,230.07,2026-08-31
MARATHON,2628.27,2026-08-31
MARICO,108584.26,2026-08-31
MARINE,5545.41,2026-08-31
MARKOLINES,380.26,2026-08-31
MARKSANS,14495.80,2026-08-31
MARSONS,2276.89,2026-08-31
MARUTI,422286.91,2026-08-31
MASFIN,5413.93,2026-08-31
MASKINVEST,47.20,2026-08-31
MASTEK,5506.63,2026-08-31
MASTERTR,978.39,2026-08-31
MATRIMONY,1111.13,2026-08-31
MAWANASUG,599.15,2026-08-31
MAXESTATES,8514.39,2026-08-31
MAXHEALTH,98271.58,2026-08-31
MAXIND,790.42,2026-08-31
MAYURUNIQ,3273.72,2026-08-31
MAZDA,503.69,2026-08-31
MAZDOCK,100636.42,2026-08-31
MBAPL,7083.24,2026-08-31
MBEL,1537.22,2026-08-31
MBLINFRA,355.06,2026-08-31
MCCHRLS-B,896.64,2026-08-31
MCL,158.64,2026-08-31
MCLEODRUSS,522.42,2026-08-31
MCLOUD,1585.97,2026-08-31
MCX,85167.11,2026-08-31
MEDANTA,39859.01,2026-08-31
MEDIASSIST,2408.63,2026-08-31
MEDICAMEQ,356.30,2026-08-31
MEDICAPQ,32.98,2026-08-31
MEDICO,349.96,2026-08-31
MEDPLUS,8054.80,2026-08-31
MEESHO,97799.77,2026-08-31
MEGASTAR,349.63,2026-08-31
MEIL,798.82,2026-08-31
MENONBE,1567.41,2026-08-31
MERCANTILE,281.14,2026-08-31
MERCURYEV,778.18,2026-08-31
METROBRAND,25162.44,2026-08-31
METROGLOBL,172.68,2026-08-31
METROPOLIS,12054.71,2026-08-31
MFML,22.59,2026-08-31
MFSL,53718.46,2026-08-31
MGEL,476.34,2026-08-31
MGL,10615.99,2026-08-31
MHLXMIRU,189.53,2026-08-31
MHRIL,4223.64,2026-08-31
MICEL,940.45,2026-08-31
MIDHANI,7715.03,2026-08-31
MIDWESTLTD,3926.79,2026-08-31
MIIL,1527.67,2026-08-31
MINALIND,84.63,2026-08-31
MINDACORP,16741.08,2026-08-31
MINDTECK,556.95,2026-08-31
MIRZAINT,438.44,2026-08-31
MITCON,117.77,2026-08-31
MITTAL,37.96,2026-08-31
MKEXIM,243.54,2026-08-31
MKPL,157.09,2026-08-31
MLKFOOD,207.24,2026-08-31
MMFL,3135.48,2026-08-31
MMP,985.62,2026-08-31
MMTC,9352.47,2026-08-31
MMWL,1674.30,2026-08-31
MOBIKWIK,1489.99,2026-08-31
MODINATUR,456.34,2026-08-31
MODIRUBBER,322.26,2026-08-31
MODIS,741.07,2026-08-31
MODISONLTD,1473.39,2026-08-31
MODTHREAD,188.08,2026-08-31
MOHITE,66.00,2026-08-31
MOHITIND,34.41,2026-08-31
MOIL,5078.07,2026-08-31
MOKSH,64.24,2026-08-31
MOL,1646.20,2026-08-31
MOLDTECH,560.31,2026-08-31
MOLDTKPAC,2350.05,2026-08-31
MONARCH,3023.87,2026-08-31
MONEYBOXX,375.54,2026-08-31
MONTECARLO,1093.51,2026-08-31
MOREPENLAB,6027.37,2026-08-31
MOSCHIP,4030.09,2026-08-31
MOTHERSON,174037.33,2026-08-31
MOTILALOFS,62051.32,2026-08-31
MOTISONS,1681.13,2026-08-31
MOTOGENFIN,106.89,2026-08-31
MPDL,23.05,2026-08-31
MPHASIS,45870.43,2026-08-31
MPSLTD,4567.51,2026-08-31
MRF,56091.24,2026-08-31
MRPL,29992.07,2026-08-31
MSL,148.27,2026-08-31
MSPL,2018.41,2026-08-31
MSTCLTD,5321.18,2026-08-31
MSUMI,24321.28,2026-08-31
MTARTECH,21742.48,2026-08-31
MTEDUCARE,13.10,2026-08-31
MTNL,1715.64,2026-08-31
MUFIN,2373.02,2026-08-31
MUFTI,486.64,2026-08-31
MUKANDLTD,1983.92,2026-08-31
MUKESHB,96.58,2026-08-31
MUKKA,755.88,2026-08-31
MUKTAARTS,126.22,2026-08-31
MUNJALAU,1006.52,2026-08-31
MUNJALSHOW,520.17,2026-08-31
MURUDCERA,182.54,2026-08-31
MUTHOOTCAP,399.18,2026-08-31
MUTHOOTFIN,120554.24,2026-08-31
MUTHOOTMF,3434.98,2026-08-31
MVELECTRO,1915.25,2026-08-31
MVGJL,739.75,2026-08-31
MWL,1135.61,2026-08-31
MYSORPETRO,78.23,2026-08-31
NACLIND,4018.37,2026-08-31
NAGREEKCAP,31.34,2026-08-31
NAGREEKEXP,68.01,2026-08-31
NAHARCAP,427.21,2026-08-31
NAHARINDUS,597.23,2026-08-31
NAHARPOLY,602.84,2026-08-31
NAHARSPING,1059.04,2026-08-31
NAM-INDIA,75503.93,2026-08-31
NARMADA,105.16,2026-08-31
NATCAPSUQ,221.38,2026-08-31
NATCOPHARM,15203.68,2026-08-31
NATHBIOGEN,299.13,2026-08-31
NATIONALUM,69586.62,2026-08-31
NAUKRI,87183.29,2026-08-31
NAVA,16065.98,2026-08-31
NAVINFLUOR,44354.72,2026-08-31
NAVKARCORP,1435.41,2026-08-31
NAVKARURB,107.72,2026-08-31
NAVNETEDUL,2972.88,2026-08-31
NAZARA,13865.75,2026-08-31
NBCC,23276.48,2026-08-31
NBIFIN,579.21,2026-08-31
NCC,9277.60,2026-08-31
NCLIND,743.20,2026-08-31
NDGL,278.80,2026-08-31
NDL,410.50,2026-08-31
NDLVENTURE,410.95,2026-08-31
NDRAUTO,1747.15,2026-08-31
NDTV,820.68,2026-08-31
NEAGI,212.19,2026-08-31
