model,model_label,horizon,symbol,week,signal_date,signal_time,signal_close,entry,qty,invested,bar_low,stop,level_26w,trigger,rsi,macd_hist,exit_date,exit_time,exit,exit_reason,exit_note,bars_held,gross_pnl,costs,pnl,pnl_pct,r_multiple,mfe_pct,mae_pct,btst_tier,btst_day_ret,btst_rank,btst_source,btst_arm,btst_age
A_gated,"A · GATED (full weekly gate, EMA exit)",,KANPRPLA,2026-07-20,2026-07-24,10:00,228.6,228.6,437,99898.2,224.0,223.9552,227.0,cross,64.5136199747638,1.9911374835332565,2026-07-24,10:45,231.32,EMA9,,9,1188.6399999999994,221.083544,967.5564559999996,0.9698512685914352,0.5856011023079566,5.424321959755041,-2.01224846894138,,,,,,
B_mover,"B · MOVER (raw cross + volume surge, run the move)",,KANPRPLA,2026-07-20,2026-07-24,10:00,228.6,228.6,437,99898.2,224.0,223.9552,227.0,cross,64.5136199747638,1.9911374835332565,2026-07-24,11:30,228.7143,BE,,18,49.94909999999382,219.83098401,-169.8818840100062,-0.1700000000000055,0.0246081639683055,5.424321959755041,-2.01224846894138,,,,,,
A_gated,"A · GATED (full weekly gate, EMA exit)",,KRISHANA,2026-07-20,2026-07-23,14:55,155.4,155.4,643,99922.2,150.9,150.86982,152.3,cross,70.19267776942952,1.4710181209126354,2026-07-23,15:15,155.4,EOD,intraday square-off at 15:15,4,0.0,219.82884,-219.82884,-0.22,0.0,1.287001287001277,-0.5469755469755477,,,,,,
B_mover,"B · MOVER (raw cross + volume surge, run the move)",,MONARCH,2026-07-27,2026-07-27,09:25,372.0,372.0,268,99696.0,365.8,365.72684,370.95,cross,68.366699133298,5.985480728288035,2026-07-27,10:05,390.8194799999999,TGT,,8,5043.620639999969,224.879182704,4818.741457295969,4.838999999999969,3.0,5.61827956989247,-0.268817204301075,,,,,,
A_gated,"A · GATED (full weekly gate, EMA exit)",,NRAIL,2026-07-20,2026-07-24,09:25,526.0,526.0,190,99940.0,500.0,499.9,519.0,cross,63.42758481465672,0.8783665835305836,2026-07-24,10:00,512.0,EMA9,,7,-2660.0,216.942,-2876.942,-2.8815969581749057,-0.5363984674329509,0.9505703422053148,-2.7186311787072315,,,,,,
B_mover,"B · MOVER (raw cross + volume surge, run the move)",,NRAIL,2026-07-20,2026-07-24,09:25,526.0,526.0,190,99940.0,500.0,499.9,519.0,cross,63.42758481465672,0.8783665835305836,2026-07-24,15:15,507.0,EOD,intraday square-off at 15:15,70,-3610.0,215.897,-3825.897,-3.832167300380232,-0.7279693486590048,0.9505703422053148,-4.828897338403038,,,,,,
A_gated,"A · GATED (full weekly gate, EMA exit)",,PYRAMID,2026-07-27,2026-07-27,11:10,189.1,189.1,528,99844.8,187.95,187.91241,188.38,cross,63.05115328747228,1.3151553530273836,2026-07-27,11:15,187.91241,SL,,1,-627.0475200000001,218.968807728,-846.0163277280001,-0.8480222104706467,-1.0,0.4759386567953383,-0.6345848757271177,,,,,,
B_mover,"B · MOVER (raw cross + volume surge, run the move)",,PYRAMID,2026-07-27,2026-07-27,11:10,189.1,189.1,528,99844.8,187.95,187.91241,188.38,cross,63.05115328747228,1.3151553530273836,2026-07-27,11:15,187.91241,SL,,1,-627.0475200000001,218.968807728,-846.0163277280001,-0.8480222104706467,-1.0,0.4759386567953383,-0.6345848757271177,,,,,,
A_gated,"A · GATED (full weekly gate, EMA exit)",,RATNAVEER,2026-07-27,2026-07-27,09:50,199.39,199.39,501,99894.39,194.64,194.601072,197.0,cross,64.18985130074019,2.2198284030405864,2026-07-27,10:00,194.601072,SL,,2,-2399.2529279999994,217.1284797792,-2616.3814077791994,-2.6217894578464263,-1.0,0.0802447464767652,-2.402327097647828,,,,,,
B_mover,"B · MOVER (raw cross + volume surge, run the move)",,RATNAVEER,2026-07-27,2026-07-27,09:25,198.1,198.1,504,99842.4,193.03,192.991394,197.0,cross,63.80010595897669,2.1375036167158026,2026-07-27,09:35,192.991394,SL,,2,-2574.73742399999,216.82106883360004,-2791.5584928335898,-2.798801615345772,-1.0,0.7319535588086845,-3.291267036850065,,,,,,
