security_id,symbol,name,exchange_segment,series,type
762523,ABANSENT,ABANS ENTERPRISES LTD.,NSE_EQ,EQ,ES
13,ABB,ABB INDIA LIMITED,NSE_EQ,EQ,ES
17903,ABBOTINDIA,ABBOTT INDIA LIMITED,NSE_EQ,EQ,ES
21614,ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,NSE_EQ,EQ,ES
759130,ABCOTS,A B COTSPIN INDIA LIMITED,NSE_EQ,EQ,ES
24308,ABDL,ALLIED BLEND N DISTILS L,NSE_EQ,EQ,ES
30108,ABFRL,ADITYA BIRLA FASHION & RT,NSE_EQ,EQ,ES
27016,ABINFRA,A B INFRABUILD LIMITED,NSE_EQ,BE,ES
756843,ABLBL,ADITYA BIRLA LIFES BRAN L,NSE_EQ,EQ,ES
5551,ABMINTLLTD,ABM INTERNATIONAL LTD,NSE_EQ,BE,ES
762528,ABMKNO,A B M KNOWLEDGEWARE LTD.,NSE_EQ,EQ,ES
625,ABREL,ADITYA BIRLA REAL EST LTD,NSE_EQ,EQ,ES
6018,ABSLAMC,ADIT BIRL SUN LIF AMC LTD,NSE_EQ,EQ,ES
22,ACC,ACC LIMITED,NSE_EQ,EQ,ES
7053,ACCELYA,ACCELYA SOLN INDIA LTD,NSE_EQ,EQ,ES
1472,ACCURACY,ACCURACY SHIPPING LIMITED,NSE_EQ,BE,ES
13587,ACE,ACTION CONST EQUIP LTD,NSE_EQ,EQ,ES
11779,ACEINTEG,ACE INTEGRATED SOLU. LTD.,NSE_EQ,EQ,ES
764558,ACGL,AUTOMOBILE CORPN OF GOA L,NSE_EQ,EQ,ES
12024,ACI,ARCHEAN CHEMICAL IND LTD,NSE_EQ,EQ,ES
15420,ACL,ANDHRA CEMENTS LIMITED,NSE_EQ,EQ,ES
27061,ACMESOLAR,ACME SOLAR HOLDINGS LTD,NSE_EQ,EQ,ES
762533,ACSTECH,A C S TECHNOLOGIES LTD.,NSE_EQ,EQ,ES
5578,ACUTAAS,ACUTAAS CHEMICALS LIMITED,NSE_EQ,EQ,ES
10217,ADANIENSOL,ADANI ENERGY SOLUTION LTD,NSE_EQ,EQ,ES
