pre,close,day_ret,close_pos,rvol,partial_frac,vol_today,vma50,vma_bars,range_pct,gap_pct,atr_pct,turnover_cr,ret_12m,dist_200dma,base_from_high,ret_3m_prior,ext_pct,age,fresh,tier,reject,symbol,level,mcap_cr,conviction,conv_why,rank
6,1634.0,2.156924038762109,0.7755102040816326,0.49372145886999014,1.0,206742.0,418742.18,50,2.998776009791922,0.125195618153362,3.3782131877431585,40.99936987847595,115.8520475561427,51.26814300716265,-1.6741522736094194,39.28851390653196,0.8704241002530866,0.0,True,,base was -1.7% off its 252d high (already at highs),AETHER,1619.9,21015.0,,,
6,2660.0,7.692307692307687,0.7851239669421488,1.8491567159505256,1.0,96843.0,52371.44,50,9.097744360902256,-1.3578274760383424,6.1535991992397285,15.978899078801268,53.49548890325568,65.82972547926556,-6.357516828721021,76.73630108010856,-0.5235602094240788,0.0,True,,no tier,BETA,2674.0,2677.12,,,
2,45250.0,2.329262777023966,0.7142857142857143,3.695365911563078,1.0,150362.0,40689.34,50,3.867403314917127,1.643489254108732,2.617995264404104,147.848123775,11.466929424806004,21.98499921484793,-0.33218785796105266,19.7989811372711,3.6655211912943964,,,,not tradeable,BOSCHLTD,43650.0,128320.05,,,
3,3808.10009765625,1.144756909860556,0.30130782781862747,1.1077870574584174,1.0,332390.0,300048.64,50,4.017751531640832,0.005311070157287823,4.124478277156913,64.14915864922241,257.26616103134126,73.10285492833096,-2.6176914426248032,50.4656049673897,-1.4976694863877427,0.0,True,,no tier,CPPLUS,3866.0,44309.89,,,
7,1428.0,14.680377127873268,0.9009433962264151,10.573080329030276,1.0,16670536.0,1576696.24,50,14.84593837535014,0.41125519606013405,5.482192266555059,393.72830252313474,122.72478290943343,41.318697396637624,-8.412114063076991,20.45652992578315,5.465288035450522,0.0,True,,no tier,CHENNPETRO,1354.0,18466.32,,,
4,1428.0,4.922850844966931,0.90063233965673,4.604341430916866,1.0,590502.0,128248.96,50,7.752100840336137,3.4902308011687033,4.500301097001301,23.016424273185425,9.989982769310156,24.81497326178048,-7.796401138284448,11.553138379106343,2.7338129496402797,0.0,True,,no tier,ENTERO,1390.0,5719.66,,,
7,284.67999267578125,7.845585240484465,0.9999997477886156,6.973042439934786,1.0,9119863.0,1307874.3,50,10.20092783388009,11.267069258396756,4.7486896611417935,22.95783525991699,178.85199616774057,100.97536206293358,-4.511970856418812,71.77612370192297,14.58240799991195,0.0,True,B,,INDSWFTLAB,248.45,1980.77,2.0,"['day>=+6%', 'trend not exhausted']",3.0
4,136.1699981689453,-0.9600751119937856,0.04719864390545139,1.2296342649033012,1.0,1450027.0,1179234.38,50,2.4895392074237295,-0.21771377283239524,2.8147582118464363,15.091333802766991,53.448277492623575,16.838586643701436,-0.44075190552956833,21.176672584239185,-1.6112729993169705,,,,not tradeable,MUFIN,138.4,2424.95,,,
7,2054.5,13.495749387793964,0.892365737370888,34.14291520252104,1.0,5460613.0,159934.0,50,14.154297825657094,4.142216201965621,3.768383076918481,78.33083914178283,77.8941862125554,32.300302357677005,-8.419391402957055,6.1885225271514965,8.24552160168599,0.0,True,,no tier,LUMAXTECH,1898.0,11847.17,,,
3,1080.0,-1.0717185760900527,0.08620689655172414,0.8277882774560281,1.0,182338.0,220271.3,50,5.37037037037037,1.1629455102525332,3.967924168500951,13.501902784413758,42.142671407133506,41.1861142102798,-3.6301145420205017,55.15060647736978,-3.554206108233604,0.0,True,,no tier,ORCHPHARMA,1119.8,5471.73,,,
3,773.6500244140625,0.6374015497967456,0.339138776795323,3.2506234600008814,1.0,749438.0,230552.08,50,7.050993406010125,-0.006502054339552199,3.79047428503536,22.55159780892639,20.65658292037986,27.615374818745543,-4.556177803479978,29.667727464295623,-3.1969438921343296,0.0,True,,no tier,PICCADIL,799.2,7526.3,,,
3,499.70001220703125,4.10416920979817,0.7084643325088164,6.475001672803685,1.0,253534.0,39155.82,50,6.383830142230106,-0.3942714091198951,4.285428207964129,3.319300673153992,1.3898764367828553,13.993848031572487,-12.691370008389779,10.047956294423056,-0.9416171658179651,0.0,True,,no tier,SANATHAN,504.45,4060.38,,,
6,3455.39990234375,2.652915899609698,0.4247658693986974,2.164140148347984,1.0,692260.0,319877.62,50,8.039593260039796,-0.03859965329913173,4.078089775738199,76.83402089158692,108.70983047223355,40.48425459404208,-1.9394320808459486,22.718655333227034,0.6231771212507287,0.0,True,,base was -1.9% off its 252d high (already at highs),SHAILY,3434.0,15476.39,,,
5,3660.0,10.540622168529135,0.5833333333333334,7.8036929342484,1.0,53192.0,6816.26,50,19.672131147540984,0.33029005245905907,4.244339501457602,3.5530371550915523,3.6915332926489963,27.98755678352589,-8.0700860000948,25.900357055205014,5.475504322766578,0.0,True,,no tier,TCPLPACK,3470.0,3002.58,,,
5,956.2000122070312,4.417145750153573,0.6528083472944016,1.7380711158733197,1.0,278741.0,160373.76,50,7.169002209253045,1.210213567060392,5.1110053523437955,13.302472068336181,183.78096974797438,64.4243621822547,-6.141080104463825,50.85028446270592,-0.3958320617675759,0.0,True,,no tier,SAKAR,960.0,2011.05,,,
