symbol,ltp,level,which,level_c,level_d,mcap_cr,level_52,pct,gap,score,max_score,failing,eligible,bucket,px,atr_pct,turnover_cr,ret_12m,ret_3m,ret_1m,dist_50dma,dist_200dma,dma200_slope,base_tight,base_depth_pct,spike_level,screened_ok,pre_score,pre_passed,pre_max,btst_ready,gate_failed,brk_score
3IINFOLTD,27.13,25.94,C,25.94,23.32,558.69,25.94,4.58750963762528,-4.58750963762528,4,8,"c03,c04,c11,c12",False,OTHER,,,,,,,,,,,,,,,,,,,
HCG,715.65,688.2,C+D,688.2,688.2,10244.57,799.71,3.9886660854402685,-3.9886660854402685,8,8,,True,FIRED,715.65,2.9129360480076807,16.273993859309996,16.214682394667523,17.647544691973117,7.390452248143431,10.657372506959906,12.061868047800296,0.017854060746014255,3.3378051810772655,-25.414125574982748,4.970801137659664,True,,,,,,4.0
PANACHE,481.45,463.0,C,463.0,459.0,742.11,472.15,3.9848812095032375,-3.9848812095032375,7,8,c12,False,OTHER,,,,,,,,,,,,,,,,,,,
GULFPETRO,59.5,57.25,C,57.25,49.96,303.45,57.25,3.9301310043668125,-3.9301310043668125,5,8,"c03,c11,c12",False,OTHER,,,,,,,,,,,,,,,,,,,
SANGHVIMOV,511.4,493.6,C,493.6,473.0,4445.3,493.6,3.6061588330632,-3.6061588330632,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
BIRLACABLE,266.92,258.0,C,258.0,241.0,756.25,258.0,3.4573643410852775,-3.4573643410852775,6,8,"c03,c12",False,OTHER,,,,,,,,,,,,,,,,,,,
SAHYADRI,349.85,338.4,C+D,338.4,338.4,380.16,338.4,3.3835697399527325,-3.3835697399527325,7,8,c12,False,OTHER,,,,,,,,,,,,,,,,,,,
MARINE,355.15,344.95,C,344.95,297.9,4891.58,344.95,2.9569502826496565,-2.9569502826496565,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
SIL,19.0,18.48,C+D,18.48,18.48,111.35,19.99,2.8138528138528116,-2.8138528138528116,4,8,"c04,c06,c11,c12",False,OTHER,,,,,,,,,,,,,,,,,,,
SHILPAMED,807.55,786.15,C,786.15,650.0,15618.8,786.15,2.722126820581311,-2.722126820581311,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
KOLTEPATIL,462.2,450.0,C,450.0,408.0,4080.88,483.9,2.7111111111111086,-2.7111111111111086,6,8,"c03,c04",False,OTHER,,,,,,,,,,,,,,,,,,,
VISAKAIND,103.52,100.97,C,100.97,87.9,889.97,100.97,2.5255026245419403,-2.5255026245419403,6,8,"c03,c12",False,OTHER,,,,,,,,,,,,,,,,,,,
PIXTRANS,1986.5,1937.9,C+D,1937.9,1937.9,2683.93,1937.9,2.5078693431033545,-2.5078693431033545,7,8,c06,True,FIRED,1986.5,3.740607727298776,16.137184544197385,31.47792493883759,29.396825376631284,9.148351648351639,14.979319382707356,30.726911645946164,2.448591250916099,3.518302403044475,-33.89751793178183,7.183360086150836,True,,,,,,2.0
MENONBE,246.55,241.0,C,241.0,231.6,1388.05,241.0,2.3029045643153574,-2.3029045643153574,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
NRBBEARING,478.25,468.0,C,468.0,467.6,4588.07,468.0,2.19017094017094,-2.19017094017094,8,8,,True,FIRED,478.25,4.262564317772898,21.837638553559266,67.86592146217015,40.331577796455264,11.493177850563697,13.687418005015406,51.81433600191598,5.1026978280187985,4.332493994221358,-54.58333268124833,3.578719805799979,True,,,,,,3.0
AKUMS,730.1,714.7,C+D,714.7,714.7,11300.35,714.7,2.154750244857979,-2.154750244857979,8,8,,True,FIRED,730.1,3.266675439557265,23.3837038622229,42.07043497077938,35.116134540082825,4.01025533206576,14.935653384087422,42.380748290939366,4.854194125452116,3.6294984984955327,-40.646423365463654,6.9903801901666895,True,,,,,,2.0
MMFL,658.25,644.7,C,644.7,565.0,3177.51,644.7,2.101752753218544,-2.101752753218544,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
PANAMAPET,528.85,518.5,C+D,518.5,518.5,3157.46,518.5,1.9961427193828394,-1.9961427193828394,8,8,,True,FIRED,528.85,5.117573500642398,16.976141743827363,51.05683826912948,79.14972158913874,23.53421921515293,24.986115243751673,65.09387573331635,6.135196973508572,4.750711676603473,-55.834136933461906,4.313725490196085,True,,,,,,3.0
VIJIFIN,11.47,11.25,C,11.25,10.21,186.32,11.25,1.955555555555561,-1.955555555555561,5,8,"c03,c11,c12",False,OTHER,,,,,,,,,,,,,,,,,,,
IRISDOREME,55.77,54.8,C,54.8,53.29,1043.54,54.8,1.770072992700741,-1.770072992700741,6,8,"c03,c11",False,OTHER,,,,,,,,,,,,,,,,,,,
TITAN,5090.0,5005.0,C,5005.0,4886.0,451540.46,5005.0,1.6983016983016983,-1.6983016983016983,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
SUMICHEM,561.25,551.9,C+D,551.9,551.9,27935.39,617.45,1.6941474904874114,-1.6941474904874114,8,8,,True,FIRED,561.25,3.7811021018930955,41.605162574941865,-11.271834506193201,23.202725285785352,9.256372720077955,14.948060827618882,23.915395356695267,-0.2707198281227896,3.5876850803308233,-34.299690867273846,3.820147202835966,True,,,,,,1.0
AGARWALEYE,560.7,553.0,C,553.0,505.0,17698.21,568.0,1.3924050632911475,-1.3924050632911475,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
SADHNANIQ,3.17,3.13,C+D,3.13,3.13,939.81,3.13,1.2779552715654963,-1.2779552715654963,4,8,"c04,c05,c11,c12",False,OTHER,,,,,,,,,,,,,,,,,,,
GLAND,2667.3,2634.3,C,2634.3,2586.0,43757.66,2634.3,1.2527047033367498,-1.2527047033367498,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
NAHARINDUS,130.44,129.0,C+D,129.0,129.0,574.37,130.0,1.11627906976744,-1.11627906976744,7,8,c12,False,OTHER,,,,,,,,,,,,,,,,,,,
SPECIALITY,150.15,148.5,C,148.5,143.63,718.74,154.0,1.111111111111115,-1.111111111111115,6,8,"c03,c12",False,OTHER,,,,,,,,,,,,,,,,,,,
AARTIPHARM,823.0,814.0,C+D,814.0,814.0,7461.55,946.1,1.1056511056511056,-1.1056511056511056,5,8,"c04,c05,c06",False,OTHER,,,,,,,,,,,,,,,,,,,
MMP,343.65,339.95,C,339.95,319.98,846.17,339.95,1.0883953522576817,-1.0883953522576817,6,8,"c03,c12",False,OTHER,,,,,,,,,,,,,,,,,,,
SUNDRMFAST,1121.3,1109.45,C,1109.45,1010.15,23704.94,1109.45,1.0680968047230528,-1.0680968047230528,6,8,"c03,c04",False,OTHER,,,,,,,,,,,,,,,,,,,
YATHARTH,898.75,889.9,C+D,889.9,889.9,8761.8,889.9,0.9944937633441986,-0.9944937633441986,7,8,c08,False,FIRED,898.75,2.5150001202997716,21.801543368920594,27.826771612531353,8.159334111192763,6.304333434667542,6.9940474635619365,20.201390175910248,0.7923697016803954,3.5179241753689685,-32.71154199427253,3.9166826612764494,True,,,,,,1.0
RKFORGE,736.2,729.0,C,729.0,654.65,13738.75,729.0,0.9876543209876606,-0.9876543209876606,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
GRASIM,3380.5,3349.6,C,3349.6,3246.0,230019.19,3349.6,0.9224982087413449,-0.9224982087413449,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
AZAD,2549.7,2530.0,C+D,2530.0,2530.0,16197.13,2530.0,0.7786561264822063,-0.7786561264822063,8,8,,True,FIRED,2549.7,4.078631509825737,132.4106644011743,63.50519174565474,20.38812585894183,2.8312159709618756,13.869609909156244,38.648566106364825,4.505557331553933,4.368486963438133,-46.24505928853755,2.9423459244532824,True,,,,,,1.0
THYROCARE,622.1,617.45,C+D,617.45,617.45,9830.46,617.45,0.7530974167948784,-0.7530974167948784,8,8,,True,FIRED,622.1,3.7218403492652334,72.07958061050019,38.63467412545105,32.02461457634001,21.944527578732398,13.288704774728878,34.60104306221412,3.8656475339445606,4.084206907966819,-44.521825606450925,2.779609278628703,True,,,,,,3.0
ANTHEM,853.0,847.0,C,847.0,825.65,48187.56,873.5,0.7083825265643447,-0.7083825265643447,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
INDIGOPNTS,1141.2,1133.8,C,1133.8,1124.7,5452.12,1345.9,0.6526724289998317,-0.6526724289998317,7,8,c04,True,OTHER,,,,,,,,,,,,,,,,,,,
M&MFIN,412.3,409.75,C,409.75,401.0,57306.8,412.2,0.6223306894447862,-0.6223306894447862,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
PPLPHARMA,213.61,212.43,C,212.43,202.26,29009.02,212.43,0.5554770983382793,-0.5554770983382793,6,8,"c03,c04",False,OTHER,,,,,,,,,,,,,,,,,,,
UNIPARTS,824.8,820.35,C,820.35,752.0,3719.64,820.35,0.5424513926982302,-0.5424513926982302,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
POLYPLEX,1179.7,1174.0,C+D,1174.0,1174.0,3691.75,1174.0,0.4855195911414008,-0.4855195911414008,8,8,,True,FIRED,1179.7,3.1251893605763117,10.549401511948243,1.9795945889761413,30.656769088644896,11.234731571935907,15.973173697087217,30.78442079006294,0.9767224497460925,3.487113751670305,-36.96763202725724,2.2375215146299476,True,,,,,,2.0
IIFL,625.9,623.0,C+D,623.0,623.0,26383.88,675.0,0.4654895666131585,-0.4654895666131585,8,8,,True,FIRED,625.9,3.0447589622728986,135.73912682580323,38.39690436705361,36.13920609026644,12.390011233800035,14.933030997082186,19.10346051871754,2.2777553791563543,3.5775871316115877,-34.33386739911467,1.1290322580645107,True,,,,,,2.0
LOKESHMACH,351.25,349.85,C+D,349.85,349.85,709.19,349.85,0.40017150207231017,-0.40017150207231017,7,8,c12,False,OTHER,,,,,,,,,,,,,,,,,,,
DVL,283.06,282.02,C,282.02,272.65,940.91,386.0,0.36876817247004484,-0.36876817247004484,4,8,"c04,c05,c06,c12",False,OTHER,,,,,,,,,,,,,,,,,,,
ENDURANCE,2969.0,2959.9,C,2959.9,2835.0,41748.87,3079.9,0.3074428190141528,-0.3074428190141528,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
BELRISE,252.77,252.0,C+D,252.0,252.0,21466.7,252.0,0.3055555555555596,-0.3055555555555596,7,8,c08,False,FIRED,252.77,2.605417168895866,100.02110648327911,86.24373543067854,20.56185995654527,6.852385275913431,8.088622653074374,29.271304680473808,4.470187714950269,3.391127401233466,-32.7063484797402,2.6122797825779864,True,,,,,,0.0
TVSMOTOR,4466.2,4458.0,C,4458.0,4325.0,211054.31,4458.0,0.18393898609241405,-0.18393898609241405,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
INDGN,568.75,567.8,C,567.8,554.0,13780.74,596.8,0.1673124339556262,-0.1673124339556262,6,8,"c03,c04",False,OTHER,,,,,,,,,,,,,,,,,,,
ORBTEXP,265.35,264.98,C+D,264.98,264.98,713.65,265.0,0.13963317986263285,-0.13963317986263285,7,8,c12,False,OTHER,,,,,,,,,,,,,,,,,,,
JINDALSAW,279.05,278.95,C+D,278.95,278.95,17756.83,278.95,0.035848718408325056,-0.035848718408325056,8,8,,True,FIRED,279.05,2.820794575714878,46.88722568014267,31.982220908417247,19.33373433549943,1.1783946159819703,8.436899928282472,35.440881746139866,3.0977226931740764,4.087561745740808,-42.97902937494399,2.2270924568990713,True,,,,,,1.0
MINDACORP,736.1,735.9,C,735.9,714.75,17461.89,735.9,0.027177605652948154,-0.027177605652948154,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
BOSCH-HCIL,1709.1,1708.8,C,1708.8,1499.0,4670.35,1778.6,0.01755617977527824,-0.01755617977527824,6,8,"c03,c04",False,OTHER,,,,,,,,,,,,,,,,,,,
ARVSMART,658.95,659.0,D,693.8,659.0,2906.07,693.8,-0.007587253414257135,0.007587253414257135,6,8,"c04,c06",True,WATCH,658.95,3.7565179325130345,27.85394086117767,8.415599413347508,11.11205017510879,7.583673469387753,9.767006297679792,12.415666017616234,-0.45292450410528984,3.531550333530664,-26.13050261108213,5.649455595600217,True,2.0,"depth>=-45,spike>=3",8.0,False,,
DALMIASUG,418.95,419.0,D,427.0,419.0,3422.84,427.0,-0.011933174224346388,0.011933174224346388,8,8,,True,WATCH,418.95,5.154041878685606,36.82634936817688,12.939745575794559,14.451581470056096,17.352941176470594,18.641043857214168,26.76027533098544,0.3301274281478195,4.42781680980457,-35.56085918854416,2.3269689737470234,True,5.0,"ret1m>=10,dist200>=25,dist50>=12,depth>=-45,px<=500",8.0,False,,
