pre,close,day_ret,close_pos,rvol,partial_frac,vol_today,vma50,vma_bars,range_pct,gap_pct,atr_pct,turnover_cr,ret_12m,dist_200dma,base_from_high,ret_3m_prior,ext_pct,age,fresh,tier,reject,symbol,level,mcap_cr,conviction,conv_why,rank
4,2549.699951171875,4.54303387857975,0.8494251002753831,2.2501995648111532,1.0,1285749.0,571393.32,50,10.236498607612281,-2.012860492416635,4.078631587933723,132.4106644011743,63.505188614442474,38.64856345117032,-1.6205533596837962,17.201113962758697,0.7786541965167926,0.0,True,,base was -1.6% off its 252d high (already at highs),AZAD,2530.0,16197.13,,,
5,252.77000427246094,0.8297107227245082,0.497745003377583,1.3240817154664137,1.0,6589713.0,4976817.46,50,2.63085013553743,0.9991521938911951,2.6054175387979583,100.02110648327911,86.24373857867506,29.27130686549022,-1.5039655897352455,17.596057279989918,0.3055572509765625,,,,not tradeable,BELRISE,252.0,21466.7,,,
6,730.0999755859375,2.6791348175250196,0.5032493145020889,6.4814358830986505,1.0,2184772.0,337081.48,50,7.3757022052744245,1.9499570360464125,3.2666757876451804,23.3837038622229,42.070430220037736,42.38074352982104,-2.4136000707109417,31.992804690050235,2.1547468288704907,0.0,True,,no tier,AKUMS,714.7,11300.35,,,
1,844.75,0.26706231454005636,0.5783136664689358,0.5006766771410377,1.0,486628.0,971940.62,50,1.4738102642238828,0.16049165389704356,1.7236717255408933,46.93492909532654,12.288982281955496,13.119900153992203,-2.248689783374491,27.22528826335946,-0.14775413711584084,,,,not tradeable,CHOICEIN,846.0,16592.39,,,
4,3861.199951171875,-1.3490048244283348,0.2532961503403735,1.1541665341426757,1.0,57335.0,49676.54,50,3.7320029907416625,1.6148281422551758,3.8700020978548815,11.822448997108154,83.59563367786905,36.07172862482288,-1.6394267408548213,31.19209975572632,-1.3993883766119763,0.0,True,,base was -1.6% off its 252d high (already at highs),CENTUM,3916.0,5710.07,,,
8,269.0299987792969,14.48085054438164,0.9813631803825472,8.888340022076376,1.0,7390934.0,831531.42,50,15.158166086727185,4.523416842111416,6.78920546873006,34.13587946558868,101.1589559812363,67.53178719361853,-1.3903500740988228,46.938115092220386,17.995613499691608,0.0,True,,base was -1.4% off its 252d high (already at highs),COMSYN,228.0,1069.6,,,
5,1056.199951171875,-1.280500320550082,0.5365841122432611,0.5075828870790758,1.0,123868.0,244035.02,50,3.6877487029595333,2.162809683844591,3.9217421016455734,5.180864847812195,69.73884309712737,46.39351814962793,-1.6666666666666718,45.72461760560784,-0.8262956646126751,0.0,True,,base was -1.7% off its 252d high (already at highs),DIVGIITTS,1065.0,3271.21,,,
4,927.1500244140625,3.246105168603841,0.520276411786576,2.755578145953873,1.0,351411.0,127527.14,50,6.250338206446614,0.6162464985994376,4.442185210229503,13.785219909235535,-13.098696860256442,26.39642735331611,-21.531564898657706,16.995481230038667,-1.680803349516169,0.0,True,,no tier,COSMOFIRST,943.0,2431.68,,,
1,5571.0,-0.25067144136078356,0.5811965811965812,2.1217006742031277,1.0,6659.0,3138.52,50,2.10016155088853,1.5362239796382182,2.9733056388952996,1.5195130300000002,6.043589987627307,11.159021034955474,-19.653812445223483,14.503106366603102,-0.428954423592498,,,,not tradeable,FOSECOIND,5595.0,4204.89,,,
2,715.6500244140625,5.709013945947183,0.9271954216599158,2.7535420617967827,1.0,515219.0,187111.36,50,6.525539414645872,0.1701597182222958,2.912936070471841,16.273993859309996,16.214686359276655,12.061871870738127,-16.00696513020251,11.462027343670567,3.988669632964603,,,,not tradeable,HCG,688.2,10244.57,,,
3,5860.0,1.0693342531907568,0.5864022662889519,1.3046884804438872,1.0,989925.0,758744.34,50,3.0119453924914676,1.275109170305666,2.7167221210689907,426.49095819906495,30.952649844319357,8.575389876151629,-10.3858495734523,14.614614614614618,0.2566295979469668,,,,not tradeable,HEROMOTOCO,5845.0,117292.14,,,
4,625.9000244140625,1.114705074969713,0.9217099227090745,0.5296938739383423,1.0,1266026.0,2390108.82,50,2.244767447189811,1.1851246424192885,3.0447588435080277,135.73912682580323,38.39690976540906,19.103465164506538,-9.370370370370374,31.956426217864298,0.46549348540330104,0.0,True,,no tier,IIFL,623.0,26383.88,,,
1,5423.5,-3.195002231146804,0.04447115384615385,2.854026540628977,1.0,5652.0,1980.36,50,7.670323591776527,-0.7792437793323281,2.955392537765544,1.1624070025,14.550329238677895,8.094544419967797,-13.85833370268469,16.795945806184708,-6.1353409484250605,,,,not tradeable,KICL,5778.0,2484.85,,,
